lon,lat,mn,mnstd,slen,firstday
0.125,35.125,-0.7685521242906965,7.774925190639971,6.533333333333331,-57.0
0.125,35.625,-0.7142836187323738,7.791493106788234,6.466666666666669,-3.0
2.625,6.625,-2.8208993852983806,6.8031320040685,-0.43333333333333,-3.0
2.625,7.125,-2.629236062494666,6.454823515463374,-0.6666666666666643,-2.0
2.625,7.625,-2.763471774002298,6.734298838044253,-0.6666666666666643,-2.0
2.625,8.125,-2.520931126268872,6.595769428328585,-1.6666666666666643,-2.0
2.625,8.625,-2.7678165424699497,7.050588588069369,-1.5666666666666629,-3.0
2.625,9.125,-2.7124719855649104,6.919349303293725,-1.4666666666666686,-3.0
2.625,9.625,-2.873690804999004,6.682618146303435,-2.133333333333333,-3.0
2.625,10.125,-2.9898006400480206,6.7157345228786,-2.2666666666666657,-4.0
2.625,10.625,-2.546240717021826,6.4984168262212725,-3.066666666666663,-3.0
2.625,11.125,-2.278852358364631,6.381539804565645,-3.2333333333333343,-5.0
2.625,11.625,-2.0647977003681124,6.291446685859563,-4.06666666666667,-4.0
2.625,12.125,-1.9654796509340535,6.19519341435039,-4.399999999999999,-4.0
2.625,12.625,-1.7082497440327629,6.189743481708113,-4.299999999999997,-3.0
2.625,13.125,-1.759841306203068,6.130037939378219,-4.433333333333337,-5.0
2.625,13.625,-1.7081714417995748,6.183948257533914,-4.600000000000001,-4.0
2.625,14.125,-1.7873487172125362,6.36991335070466,-5.533333333333331,-5.0
2.625,14.625,-1.7395380178201947,6.149412609735719,-5.233333333333334,-3.0
2.625,15.125,-1.7070646206663405,6.175286344320036,-5.633333333333333,-4.0
2.625,15.625,-1.654352044264904,6.114453538021905,-5.666666666666664,-2.0
2.625,16.125,-1.8428136877545889,6.10793780142937,-4.633333333333333,-3.0
2.625,16.625,-1.8561470169019039,6.439187539953394,-5.333333333333336,-3.0
2.625,17.125,-1.6139940722201231,6.446925429539387,-5.5,-2.0
2.625,17.625,-1.4806593838528954,6.292763472258457,-5.766666666666666,-2.0
2.625,18.125,-1.6658675174703426,6.248562924053891,-5.900000000000006,-3.0
2.625,18.625,-1.7611402420735516,6.198079308811924,-5.733333333333334,-3.0
2.625,19.125,-2.22786065105684,6.7822226162423025,-4.600000000000001,-3.0
2.625,19.625,-2.1445432310740316,6.646259195923539,-5.0,-3.0
2.625,20.125,-2.21638927330574,7.167962328183501,-4.100000000000001,-2.0
2.625,20.625,-2.107094422438969,6.857162291997554,-5.266666666666673,-3.0
2.625,21.125,-1.8879273180570806,6.8779963663910575,-5.866666666666667,-3.0
2.625,21.625,-1.6622088320700925,6.962934606504592,-6.433333333333337,-3.0
