"time","sizeS","sizeM","sizeL"
-20.12,0.507047954361269,0.507047954361269,0.507047954361269
-20.11,0.50784688590717,0.50784688590717,0.50784688590717
-20.1,0.508645652396145,0.508645652396145,0.508645652396145
-20.09,0.509444250729627,0.509444250729627,0.509444250729627
-20.08,0.510242677809051,0.510242677809051,0.510242677809051
-20.07,0.511040930535848,0.511040930535848,0.511040930535848
-20.06,0.511839005811454,0.511839005811454,0.511839005811454
-20.05,0.512636900537299,0.512636900537299,0.512636900537299
-20.04,0.51343461161482,0.51343461161482,0.51343461161482
-20.03,0.514232135945447,0.514232135945447,0.514232135945447
-20.02,0.515029470430614,0.515029470430614,0.515029470430614
-20.01,0.515826611943669,0.515826611943669,0.515826611943669
-20,0.516623557194929,0.516623557194929,0.516623557194929
-19.99,0.517420303093591,0.517420303093591,0.517420303093591
-19.98,0.518216846594429,0.518216846594429,0.518216846594429
-19.97,0.519013184652217,0.519013184652217,0.519013184652217
-19.96,0.519809314221729,0.519809314221729,0.519809314221729
-19.95,0.520605232257739,0.520605232257739,0.520605232257739
-19.94,0.521400935715021,0.521400935715021,0.521400935715021
-19.93,0.52219642154835,0.52219642154835,0.52219642154835
-19.92,0.5229916867125,0.5229916867125,0.5229916867125
-19.91,0.523786728162244,0.523786728162244,0.523786728162244
-19.9,0.524581542852358,0.524581542852358,0.524581542852358
-19.89,0.525376127737614,0.525376127737614,0.525376127737614
-19.88,0.526170479772787,0.526170479772787,0.526170479772787
-19.87,0.526964595867214,0.526964595867214,0.526964595867214
-19.86,0.52775847279032,0.52775847279032,0.52775847279032
-19.85,0.528552107528986,0.528552107528986,0.528552107528986
-19.84,0.529345497098284,0.529345497098284,0.529345497098284
-19.83,0.530138638513284,0.530138638513284,0.530138638513284
-19.82,0.530931528789056,0.530931528789056,0.530931528789056
-19.81,0.53172416494067,0.53172416494067,0.53172416494067
-19.8,0.532516543983197,0.532516543983197,0.532516543983197
-19.79,0.533308662931706,0.533308662931706,0.533308662931706
-19.78,0.534100518801269,0.534100518801269,0.534100518801269
-19.77,0.534892108606955,0.534892108606955,0.534892108606955
-19.76,0.535683429363834,0.535683429363834,0.535683429363834
-19.75,0.536474478086978,0.536474478086978,0.536474478086978
-19.74,0.537265251791455,0.537265251791455,0.537265251791455
-19.73,0.538055747455771,0.538055747455771,0.538055747455771
-19.72,0.538845961905754,0.538845961905754,0.538845961905754
-19.71,0.539635892185989,0.539635892185989,0.539635892185989
-19.7,0.5404255353788,0.5404255353788,0.5404255353788
-19.69,0.541214888566508,0.541214888566508,0.541214888566508
-19.68,0.542003948831435,0.542003948831435,0.542003948831435
-19.67,0.542792713255905,0.542792713255905,0.542792713255905
-19.66,0.543581178922238,0.543581178922238,0.543581178922238
-19.65,0.544369342912757,0.544369342912757,0.544369342912757
-19.64,0.545157202309785,0.545157202309785,0.545157202309785
-19.63,0.545944754195643,0.545944754195643,0.545944754195643
-19.62,0.546731995652655,0.546731995652655,0.546731995652655
-19.61,0.547518923763141,0.547518923763141,0.547518923763141
-19.6,0.548305535609425,0.548305535609425,0.548305535609425
-19.59,0.549091828264862,0.549091828264862,0.549091828264862
-19.58,0.549877798628358,0.549877798628358,0.549877798628358
-19.57,0.550663443765481,0.550663443765481,0.550663443765481
-19.56,0.551448760832753,0.551448760832753,0.551448760832753
-19.55,0.552233746986694,0.552233746986694,0.552233746986694
-19.54,0.553018399383825,0.553018399383825,0.553018399383825
-19.53,0.553802715180668,0.553802715180668,0.553802715180668
-19.52,0.554586691533744,0.554586691533744,0.554586691533744
-19.51,0.555370325599573,0.555370325599573,0.555370325599573
-19.5,0.556153614534677,0.556153614534677,0.556153614534677
-19.49,0.556936555495578,0.556936555495578,0.556936555495578
-19.48,0.557719145638795,0.557719145638795,0.557719145638795
-19.47,0.558501382120852,0.558501382120852,0.558501382120852
-19.46,0.559283262098267,0.559283262098267,0.559283262098267
-19.45,0.560064782727563,0.560064782727563,0.560064782727563
-19.44,0.560845941079779,0.560845941079779,0.560845941079779
-19.43,0.561626734162238,0.561626734162238,0.561626734162238
-19.42,0.56240715920472,0.56240715920472,0.56240715920472
-19.41,0.563187213444872,0.563187213444872,0.563187213444872
-19.4,0.563966894120345,0.563966894120345,0.563966894120345
-19.39,0.564746198468786,0.564746198468786,0.564746198468786
-19.38,0.565525123727844,0.565525123727844,0.565525123727844
-19.37,0.566303667135168,0.566303667135168,0.566303667135168
-19.36,0.567081825928407,0.567081825928407,0.567081825928407
-19.35,0.567859597345208,0.567859597345208,0.567859597345208
-19.34,0.568636978623221,0.568636978623221,0.568636978623221
-19.33,0.569413967000094,0.569413967000094,0.569413967000094
-19.32,0.570190559713476,0.570190559713476,0.570190559713476
-19.31,0.570966754001016,0.570966754001016,0.570966754001016
-19.3,0.571742547099489,0.571742547099489,0.571742547099489
-19.29,0.572517936088715,0.572517936088715,0.572517936088715
-19.28,0.573292918150685,0.573292918150685,0.573292918150685
-19.27,0.574067490611075,0.574067490611075,0.574067490611075
-19.26,0.574841650795564,0.574841650795564,0.574841650795564
-19.25,0.575615396029827,0.575615396029827,0.575615396029827
-19.24,0.576388723639543,0.576388723639543,0.576388723639543
-19.23,0.577161630950388,0.577161630950388,0.577161630950388
-19.22,0.577934115288039,0.577934115288039,0.577934115288039
-19.21,0.578706173978174,0.578706173978174,0.578706173978174
-19.2,0.57947780434647,0.57947780434647,0.57947780434647
-19.19,0.580249003718604,0.580249003718604,0.580249003718604
-19.18,0.581019769420254,0.581019769420254,0.581019769420254
-19.17,0.581790098777096,0.581790098777096,0.581790098777096
-19.16,0.582559989114807,0.582559989114807,0.582559989114807
-19.15,0.583329437756529,0.583329437756529,0.583329437756529
-19.14,0.584098441859438,0.584098441859438,0.584098441859438
-19.13,0.584866998714936,0.584866998714936,0.584866998714936
-19.12,0.585635105743592,0.585635105743592,0.585635105743592
-19.11,0.586402760365977,0.586402760365977,0.586402760365977
-19.1,0.587169960002661,0.587169960002661,0.587169960002661
