lon,lat,mn,mnstd
25.125,-27.375,-0.04310604807690055,30.36412398195504
25.125,-26.875,0.8110804984650031,30.122848733110253
25.125,-26.375,0.5439673318212925,30.08638718984558
25.125,-25.875,-0.4849165723219784,33.501275480047106
25.125,-25.375,0.14634646981510713,34.31403232080248
25.125,-24.875,-0.3912378504838472,34.0649269309953
25.125,-24.375,-2.1953613198238173,38.83224725418334
25.125,-23.875,-3.470373844092478,41.60397888114652
25.125,-23.375,-3.6358041663447835,42.93687610705631
25.125,-22.875,-3.910991519812548,46.07757986698019
25.125,-22.375,-4.413248605336868,45.90200589595052
25.125,-21.875,-3.569361980148024,48.11423986625621
25.125,-21.375,-4.898786540990535,48.80784082420727
25.125,-20.875,-4.144971744671864,50.31682599899198
25.125,-20.375,-5.0171923597892345,49.62500200303727
25.125,-19.875,-4.749695244857563,49.59024671784961
25.125,-19.375,-5.191588027076371,49.89503322921544
25.125,-18.875,-3.8529328571921084,47.879227250295315
25.125,-18.375,-1.723160995165017,47.001914691291304
25.125,-17.875,-7.295397912327751,50.937789199522136
25.125,-17.375,-5.476594896069344,49.76376685129491
25.125,-16.875,-2.9210824549650525,46.19542420868045
25.125,-16.375,-0.9171965917564577,43.8289172386379
25.125,-15.875,2.46818537709143,38.878254654944264
25.125,-15.375,1.2961724532558563,39.11180843120644
25.125,-14.875,0.668396031280885,38.19003668484729
25.125,-14.375,1.6033499119190324,36.05361504481742
25.125,-13.875,1.9328667839613942,33.27511465293096
25.125,-13.375,3.130442201663392,31.079098078173228
25.125,-12.875,2.883079434753469,30.80110297645375
25.125,-12.375,1.1978404828694522,27.53356702774667
25.125,-11.875,7.465356463520656,25.346951231834474
25.125,-11.375,5.171978722641498,22.716577727930996
25.125,-10.875,1.522406376666666,21.607634790293325
25.125,-10.375,0.21467833366418176,20.628653938140253
25.125,-9.875,-2.3061055470373475,23.298435658195835
25.125,-9.375,-2.8289959376316034,22.341945306410715
25.125,-8.875,-0.16326547246868017,17.201418537221883
25.125,-8.375,0.9026583377358577,15.499261945514576
25.125,-7.875,-0.06054134937107847,17.307103978298304
25.125,-7.375,-0.3985087197484063,15.554000636934557
25.125,-6.875,-1.3502542942261755,17.14532595257432
25.125,-6.375,-3.151538168394609,21.154466592854554
25.125,-5.875,-3.8390819377043925,20.274163824215126
25.125,-5.375,-3.397677923989221,18.757722113637683
25.125,-4.875,-2.514203184437136,16.18265016339834
25.125,-4.375,-1.6462291814543875,15.013875871148544
25.125,-3.875,-0.4462405289308293,12.962783415640553
25.125,-3.375,0.02505650533333892,13.153765119683923
25.125,-2.875,-0.8628306886792529,13.518498182789886
25.125,-2.375,-0.7666113408805018,13.639177617611592
25.125,-1.875,-1.2993350920754807,13.977336754520616
25.125,-1.375,-0.965276767295606,13.819500000942266
25.125,-0.875,-0.6963328930817738,12.982048281022958
25.125,-0.375,-1.2117578284276647,13.824863108483424
25.125,0.125,-1.387324910062901,14.512197647994658
25.125,0.625,-1.3990236584277085,14.745798966165395
25.125,1.125,-1.1379559403836197,14.066988244382237
25.125,1.625,-0.9224554333333117,14.47907589030817
25.125,2.125,0.09360373435220026,14.036208033115617
25.125,2.625,-1.0330172262264057,15.59801028214068
25.125,3.125,-1.057547965567963,16.611487344666497
25.125,3.625,-2.0389973199744134,19.524318753274095
